Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Bangladesh,BGD,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Barbados,BRB,92
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Belarus,BLR,98
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Belgium,BEL,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Belize,BLZ,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Benin,BEN,58
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Bermuda,BMU,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Bhutan,BTN,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Bolivia,BOL,79
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Bosnia and Herzegovina,BIH,79
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Botswana,BWA,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Brazil,BRA,91
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,British Virgin Islands,VGB,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Brunei Darussalam,BRN,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Bulgaria,BGR,95
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Burkina Faso,BFA,88
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Burundi,BDI,92
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Cabo Verde,CPV,98
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Cambodia,KHM,87
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Cameroon,CMR,61
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Canada,CAN,90
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Cayman Islands,CYM,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Central African Republic,CAF,37
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Chad,TCD,40
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Channel Islands,CHI,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Chile,CHL,95
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,China,CHN,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Colombia,COL,95
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Comoros,COM,76
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Congo, Dem. Rep.",COD,65
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Congo, Rep.",COG,73
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Costa Rica,CRI,95
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Cote d'Ivoire,CIV,71
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Croatia,HRV,93
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Cuba,CUB,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Curacao,CUW,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Cyprus,CYP,86
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Czechia,CZE,92
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Denmark,DNK,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Djibouti,DJI,83
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Dominica,DMA,92
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Dominican Republic,DOM,90
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Ecuador,ECU,83
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Egypt, Arab Rep.",EGY,95
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,El Salvador,SLV,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Equatorial Guinea,GNQ,51
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Eritrea,ERI,93
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Estonia,EST,88
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Ethiopia,ETH,56
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Faroe Islands,FRO,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Fiji,FJI,94
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Finland,FIN,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,France,FRA,92
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,French Polynesia,PYF,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Gabon,GAB,62
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Gambia, The",GMB,85
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Georgia,GEO,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Germany,DEU,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Ghana,GHA,92
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Gibraltar,GIB,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Greece,GRC,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Greenland,GRL,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Grenada,GRD,94
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Guam,GUM,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Guatemala,GTM,90
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Guinea,GIN,50
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Guinea-Bissau,GNB,79
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Guyana,GUY,98
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Haiti,HTI,74
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Honduras,HND,89
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Hong Kong SAR, China",HKG,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Hungary,HUN,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Iceland,ISL,93
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,India,IND,95
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Indonesia,IDN,88
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Iran, Islamic Rep.",IRN,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Iraq,IRQ,86
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Ireland,IRL,91
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Isle of Man,IMN,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Israel,ISR,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Italy,ITA,94
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Jamaica,JAM,94
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Japan,JPN,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Jordan,JOR,87
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Kazakhstan,KAZ,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Kenya,KEN,92
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Kiribati,KIR,94
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Korea, Dem. People's Rep.",PRK,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Korea, Rep.",KOR,98
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Kosovo,XKX,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Kuwait,KWT,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Kyrgyz Republic,KGZ,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Lao PDR,LAO,70
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Latvia,LVA,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Lebanon,LBN,82
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Lesotho,LSO,90
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Liberia,LBR,68
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Libya,LBY,73
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Liechtenstein,LIE,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Lithuania,LTU,93
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Luxembourg,LUX,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Macao SAR, China",MAC,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,North Macedonia,MKD,75
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Madagascar,MDG,60
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Malawi,MWI,92
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Malaysia,MYS,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Maldives,MDV,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Mali,MLI,71
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Malta,MLT,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Marshall Islands,MHL,85
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Mauritania,MRT,75
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Mauritius,MUS,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Mexico,MEX,73
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Micronesia, Fed. Sts.",FSM,78
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Moldova,MDA,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Monaco,MCO,88
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Mongolia,MNG,98
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Montenegro,MNE,37
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Morocco,MAR,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Mozambique,MOZ,83
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Myanmar,MMR,84
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Namibia,NAM,80
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Nauru,NRU,95
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Nepal,NPL,92
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Netherlands,NLD,94
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,New Caledonia,NCL,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,New Zealand,NZL,92
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Nicaragua,NIC,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Niger,NER,79
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Nigeria,NGA,58
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Northern Mariana Islands,MNP,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Norway,NOR,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Oman,OMN,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Pakistan,PAK,81
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Palau,PLW,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Panama,PAN,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Papua New Guinea,PNG,37
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Paraguay,PRY,87
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Peru,PER,85
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Philippines,PHL,83
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Poland,POL,93
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Portugal,PRT,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Puerto Rico (US),PRI,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Qatar,QAT,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Romania,ROU,90
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Russian Federation,RUS,98
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Rwanda,RWA,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Samoa,WSM,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,San Marino,SMR,86
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Sao Tome and Principe,STP,95
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Saudi Arabia,SAU,95
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Senegal,SEN,86
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Serbia,SRB,87
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Seychelles,SYC,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Sierra Leone,SLE,93
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Singapore,SGP,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Sint Maarten (Dutch part),SXM,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Slovak Republic,SVK,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Slovenia,SVN,94
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Solomon Islands,SLB,81
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Somalia, Fed. Rep.",SOM,52
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,South Africa,ZAF,83
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,South Sudan,SSD,65
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Spain,ESP,98
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Sri Lanka,LKA,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,St. Kitts and Nevis,KNA,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,St. Lucia,LCA,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,St. Martin (French part),MAF,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,St. Vincent and the Grenadines,VCT,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Sudan,SDN,90
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Suriname,SUR,64
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Eswatini,SWZ,81
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Sweden,SWE,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Switzerland,CHE,95
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Syrian Arab Republic,SYR,76
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Tajikistan,TJK,98
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Tanzania,TZA,89
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Thailand,THA,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Timor-Leste,TLS,75
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Togo,TGO,78
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Tonga,TON,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Trinidad and Tobago,TTO,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Tunisia,TUN,98
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Turkiye,TUR,97
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Turkmenistan,TKM,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Turks and Caicos Islands,TCA,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Tuvalu,TUV,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Uganda,UGA,87
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Ukraine,UKR,93
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,United Arab Emirates,ARE,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,United Kingdom,GBR,91
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,United States,USA,90
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Uruguay,URY,96
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Uzbekistan,UZB,98
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Vanuatu,VUT,80
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Venezuela, RB",VEN,93
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Viet Nam,VNM,95
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Virgin Islands (U.S.),VIR,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,West Bank and Gaza,PSE,99
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,"Yemen, Rep.",YEM,54
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Zambia,ZMB,93
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Zimbabwe,ZWE,85
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Afghanistan,AFG,88.8901214599609
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Albania,ALB,98.717525153927
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Algeria,DZA,97.5394672160368
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,American Samoa,ASM,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Andorra,AND,65.1436031331593
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Angola,AGO,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Antigua and Barbuda,ATG,105.633802816901
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Argentina,ARG,100.286471247217
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Armenia,ARM,93.5630099728015
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Aruba,ABW,101.90274810791
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Australia,AUS,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Austria,AUT,99.4589767456055
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Azerbaijan,AZE,100.383341347438
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,"Bahamas, The",BHS,87.8645014841977
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Bahrain,BHR,97.6139639158749
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Bangladesh,BGD,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Barbados,BRB,81.3846153846154
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Belarus,BLR,102.222120658135
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Belgium,BEL,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Belize,BLZ,102.683765203596
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Benin,BEN,58.9629592895508
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Bermuda,BMU,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Bhutan,BTN,75.7440574444583
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Bolivia,BOL,90.8282080372604
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Bosnia and Herzegovina,BIH,99.1442184448242
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Botswana,BWA,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Brazil,BRA,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,British Virgin Islands,VGB,59.8130841121495
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Brunei Darussalam,BRN,100.955518945634
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Bulgaria,BGR,97.1262664794922
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Burkina Faso,BFA,61.6091078457616
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Burundi,BDI,51.6197565455252
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Cabo Verde,CPV,102.603693611868
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Cambodia,KHM,81.4103628494242
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Cameroon,CMR,66.0216269788872
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Canada,CAN,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Cayman Islands,CYM,85.2903225806452
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Central African Republic,CAF,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Chad,TCD,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Channel Islands,CHI,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Chile,CHL,97.4453201293945
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,China,CHN,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Colombia,COL,103.543678283691
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Comoros,COM,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,"Congo, Dem. Rep.",COD,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,"Congo, Rep.",COG,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Costa Rica,CRI,93.7287902832031
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Cote d'Ivoire,CIV,70.0887402010121
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Croatia,HRV,99.4307022094727
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Cuba,CUB,91.0264788143346
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Curacao,CUW,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Cyprus,CYP,102.545501708984
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Czechia,CZE,95.833740234375
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Denmark,DNK,100.630348205566
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Djibouti,DJI,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Dominica,DMA,93.7086092715232
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Dominican Republic,DOM,93.9661654135338
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Ecuador,ECU,95.7716032468046
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,"Egypt, Arab Rep.",EGY,88.7223371866174
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,El Salvador,SLV,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Equatorial Guinea,GNQ,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Eritrea,ERI,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Estonia,EST,97.2760772705078
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Ethiopia,ETH,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Faroe Islands,FRO,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Fiji,FJI,104.594161987305
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Finland,FIN,99.4365997314453
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,France,FRA,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,French Polynesia,PYF,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Gabon,GAB,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,"Gambia, The",GMB,73.6555446516192
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Georgia,GEO,98.4348314849644
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Germany,DEU,99.6325531005859
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Ghana,GHA,93.8322499399433
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Gibraltar,GIB,107.494145199063
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Greece,GRC,98.3840713500977
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Greenland,GRL,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Grenada,GRD,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Guam,GUM,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Guatemala,GTM,80.0990747241132
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Guinea,GIN,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Guinea-Bissau,GNB,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Guyana,GUY,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Haiti,HTI,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Honduras,HND,76.5305787372579
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,"Hong Kong SAR, China",HKG,97.0689655172414
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Hungary,HUN,93.0584487915039
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Iceland,ISL,99.3886489868164
